Destination	Land	Kategorie (Primär)	Flugpreise	Sicherheitsindex	Flugzeit (ab ZRH)	Beschreibung
Venedig	Italien	Stadt / Kultur	190	4.6	1.2	Die einzigartige Lagunenstadt mit Kanälen, Gondeln und dem Markusplatz. Atemberaubend romantisch, besonders ausserhalb der Hochsaison.
Neapel	Italien	Stadt / Meer	160	4.6	1.8	Lebhafte Stadt am Vesuv mit ursprünglichem süditalienischem Charakter, Weltklasse-Pizza und Pforte zu Pompeji und Capri. Authentisch und intensiv.
Palermo	Italien	Meer / Stadt	220	4.6	2.0	Sizilianische Hauptstadt mit arabisch-normannischem Erbe, lebhaften Märkten und vielfältiger Strassenküche. Mischung aus Verfall und Schönheit.
Athen	Griechenland	Stadt / Kultur	240	3.1	2.7	Wiege der westlichen Zivilisation mit Akropolis, antiken Tempeln und lebendiger Tavernen-Szene in Plaka. Geschichte trifft auf modernes Leben.
Santorini	Griechenland	Meer / Natur	350	3.1	3.0	Postkartenmotiv der Kykladen mit weiss-blauen Häusern, dramatischer Caldera und legendären Sonnenuntergängen in Oia. Ikonisch für Verliebte.
Heraklion (Kreta)	Griechenland	Meer	280	3.1	3.0	Hauptstadt Kretas mit dem antiken Knossos, langen Stränden und kretischer Küche. Idealer Ausgangspunkt für die grösste griechische Insel.
Valletta	Malta	Meer / Stadt	230	1.5	2.3	Kleinste Hauptstadt der EU mit gut erhaltenen Festungsmauern, mediterranem Charme und kristallklarem Wasser. UNESCO-Welterbe auf engstem Raum.
Ljubljana	Slowenien	Stadt / Natur	210	0.2	1.0	Charmante Hauptstadt im Grünen mit autofreier Altstadt, drachenverzierten Brücken und entspanntem Lebensgefühl. Geheimtipp für Naturliebhaber.
Wien	Österreich	Stadt	150	1.1	1.3	Habsburgische Pracht mit Schloss Schönbrunn, Klassik-Konzerten und legendären Kaffeehäusern. Stadt der Walzer und der Sachertorte.
Salzburg	Österreich	Berge / Stadt	180	1.1	1.0	Mozarts Geburtsstadt mit barocker Altstadt, Festung Hohensalzburg und alpinem Bergpanorama. Filmkulisse von Sound of Music.
Innsbruck	Österreich	Berge / Natur	200	1.1	0.8	Tiroler Bergmetropole umringt von alpinen Gipfeln, mit goldener Dachl und perfektem Zugang zu Wander- und Skigebieten. Sportlich und urban zugleich.
Prag	Tschechien	Stadt	160	1.7	1.3	Goldene Stadt mit der berühmten Karlsbrücke, Prager Burg und tausend Türmen. Märchenhafte Atmosphäre und beste Biere Mitteleuropas.
Budapest	Ungarn	Stadt	150	1.5	1.7	Donau-Metropole mit imposantem Parlament, historischen Thermalbädern und schöner Mischung aus Buda und Pest. Bezahlbares Kultur- und Wellnessziel.
Warschau	Polen	Stadt	170	1.5	1.8	Wiederauferstandene Hauptstadt mit rekonstruierter Altstadt, moderner Skyline und bewegter Geschichte. Lebendig und überraschend kosmopolitisch.
Krakau	Polen	Stadt / Kultur	180	1.5	1.7	Polens kulturelles Herz mit dem grössten mittelalterlichen Marktplatz Europas, jüdischem Viertel Kazimierz und Nähe zu Auschwitz. Geschichte zum Anfassen.
Bratislava	Slowakei	Stadt	190	0.9	1.4	Kompakte Hauptstadt an der Donau mit gut erhaltener Altstadt, Burg über der Stadt und entspanntem Tempo. Perfekt für ein verlängertes Wochenende.
Sofia	Bulgarien	Stadt / Berge	220	3.8	2.3	Bulgariens Hauptstadt am Fusse des Vitosha-Gebirges, mit orthodoxen Kathedralen, römischen Ruinen und sehr günstigen Preisen. Authentisch und spannend.
Bukarest	Rumänien	Stadt	200	1.6	2.3	Ehemals Klein-Paris des Ostens mit Belle-Époque-Architektur, riesigem Parlamentspalast und aufstrebender Café-Kultur. Mischung aus alt und neu.
Belgrad	Serbien	Stadt	210	4.4	1.8	Lebendige Hauptstadt am Zusammenfluss von Save und Donau, bekannt für legendäres Nachtleben auf Splavovi-Booten. Roh, charmant und energiegeladen.
Tirana	Albanien	Stadt / Natur	250	4.5	2.0	Bunte Hauptstadt im Aufbruch mit pastellbemalten Plattenbauten, lebhafter Café-Szene und unverbrauchtem Charakter. Albaniens dynamische Seite.
Split	Kroatien	Meer / Stadt	230	1.7	1.3	Dalmatinische Küstenstadt rund um den antiken Diokletianpalast, mit klarem Adriawasser und Sprungbrett zu den nahen Inseln Hvar und Brač.
Dubrovnik	Kroatien	Meer / Stadt	250	1.7	1.5	Perle der Adria mit komplett erhaltener Stadtmauer, mediterranem Flair und Game-of-Thrones-Kulissen. Touristisch, aber zu Recht weltberühmt.
Berlin	Deutschland	Stadt	130	2.6	1.3	Pulsierende Hauptstadt mit Mauergeschichte, kreativer Szene und unzähligen Museen. Liberal, vielfältig und immer im Wandel.
München	Deutschland	Stadt / Berge	140	2.6	0.8	Bayerische Hauptstadt mit Marienplatz, weltberühmtem Oktoberfest und Alpennähe. Mischung aus Tradition, Wirtschaftskraft und Lebensqualität.
Hamburg	Deutschland	Stadt	140	2.6	1.5	Norddeutsche Hafenstadt mit beeindruckender Elbphilharmonie, Speicherstadt und maritimem Charme. Tor zur Welt mit nordischer Eleganz.
Amsterdam	Niederlande	Stadt	150	1.5	1.5	Niederländische Hauptstadt mit malerischen Grachten, schmalen Giebelhäusern und liberaler Atmosphäre. Fahrradfreundlich und kunstreich.
Brüssel	Belgien	Stadt	140	2.6	1.2	Hauptstadt der EU mit Grand-Place, Manneken Pis und legendärer Bier-, Schokoladen- und Fritten-Kultur. Multikulturell und unterschätzt.
London	UK	Stadt	130	2.9	1.8	Weltmetropole mit Tower Bridge, Buckingham Palace und unzähligen Museen, viele davon gratis. Kosmopolitisch, traditionsreich und immer in Bewegung.
Edinburgh	UK	Stadt / Natur	210	2.9	2.3	Schottische Hauptstadt mit dramatischer Burg auf dem Vulkanfelsen, mittelalterlicher Royal Mile und windumtosten Hügeln. Atmosphärisch und literarisch.
Dublin	Irland	Stadt	180	1.8	2.3	Lebenslustige Hauptstadt Irlands mit Pub-Kultur in Temple Bar, Trinity College und herzlicher Gastfreundschaft. Literarisch und musikalisch.
Kopenhagen	Dänemark	Stadt	160	0.8	1.7	Skandinavisches Designziel mit buntem Hafenviertel Nyhavn, Vergnügungspark Tivoli und Hygge-Atmosphäre. Fahrradstadt mit hoher Lebensqualität.
Stockholm	Schweden	Stadt / Natur	180	1.8	2.3	Auf 14 Inseln gebautes Venedig des Nordens mit Königspalast, schönen Altstadtgassen und einzigartigem Schärengarten. Elegant und naturnah.
Oslo	Norwegen	Natur / Stadt	200	1.1	2.3	Norwegische Hauptstadt am Fjord mit moderner Architektur, Wikinger-Geschichte und schnellem Zugang zu Wäldern und Seen. Skandinavisch sauber.
Bergen	Norwegen	Natur / Berge	240	1.1	2.5	Tor zu den Fjorden mit historischem Hansaviertel Bryggen, sieben Bergen und maritimem Klima. Ausgangspunkt für die spektakulärsten Norwegen-Touren.
Helsinki	Finnland	Stadt / Natur	220	1.7	2.8	Junge nordische Hauptstadt mit funktionalistischer Architektur, Saunakultur und Inseln vor der Tür. Designorientiert und überraschend grün.
Reykjavík	Island	Natur / Berge	400	0.3	3.7	Nördlichste Hauptstadt der Welt mit bunten Häusern, geothermalen Quellen und Tor zu Vulkanen, Geysiren und Polarlichtern. Einzigartiges Naturerlebnis.
